feature,importance
fluid6h_net_rate_ml_per_hr,0.0037669777
vital48h_sbp_count,0.0037434616
vital48h_pulse_pressure_mean,0.0037257278
labs7d_potassium_max,0.0037071619
emb_96,0.0036986864
emb_203,0.003687721
emb_114,0.0036688757
vital48h_sbp_last,0.0036668468
labs7d_wbc_last,0.0036666086
emb_261,0.0036629557
emb_226,0.0036606397
labs7d_plt_max,0.003650478
emb_55,0.0036441064
emb_241,0.0036345732
labs7d_plt_last,0.0036322975
vital48h_pap_sbp_last,0.0036316526
labs7d_potassium_std,0.0036261105
emb_254,0.003610636
emb_6,0.003580864
emb_328,0.0035764256
vital48h_cvp_mean,0.0035617363
emb_315,0.0035508336
emb_245,0.0035381622
labs7d_bun_count_missing,0.0035037089
emb_347,0.003501233
labs7d_sodium_last,0.0034923458
emb_265,0.003486482
emb_118,0.003471445
emb_375,0.003463431
labs7d_bun_last,0.0034460903
emb_2,0.0034394609
emb_73,0.0034198368
emb_225,0.0034117782
emb_280,0.0034077
emb_351,0.0034025165
emb_90,0.0033823585
emb_231,0.003376711
emb_37,0.0033699519
vital48h_cvp_last,0.0033627795
labs7d_creatinine_count_missing,0.003358724
emb_268,0.0033460518
emb_266,0.0033334545
emb_13,0.0033299816
emb_335,0.0033254982
emb_109,0.0033219522
labs7d_sodium_mean_missing,0.0033159226
emb_46,0.0033108962
labs7d_lactate_mean_missing,0.0033105435
emb_243,0.0033014587
emb_361,0.0032878888
emb_51,0.0032563084
vital48h_mbp_std,0.0032494685
emb_113,0.0032468147
vital48h_cvp_min,0.0032423139
labs7d_ph_std,0.003210938
labs7d_ph_count,0.0032066
fluid6h_input_total_ml,0.0032028682
labs7d_creatinine_mean_missing,0.0031918418
emb_4,0.0031803432
emb_28,0.003177377
labs7d_albumin_last_missing,0.0031692493
labs7d_bun_mean_missing,0.0031538713
emb_201,0.0031267276
vital48h_resp_rate_last,0.0031238901
emb_22,0.0031211341
emb_35,0.003120999
dem_mar_WIDOWED,0.0031158016
emb_279,0.0031149625
labs7d_albumin_mean_missing,0.0031097778
vital48h_sbp_mean,0.0031081187
emb_102,0.0030736653
emb_369,0.0030623632
labs7d_ph_last_missing,0.0030491808
emb_213,0.0030461105
vital48h_tidal_volume_min,0.003041296
emb_283,0.003039276
emb_342,0.0030355318
labs7d_bun_min_missing,0.003024173
emb_0,0.0030202281
ins_ASSISTANT,0.0030154714
emb_15,0.002991638
vital48h_pap_mbp_count,0.0029912305
emb_9,0.0029689658
labs7d_potassium_count,0.0029523063
emb_333,0.0029433062
emb_40,0.0029423833
emb_269,0.0029366715
emb_123,0.0029339623
emb_45,0.0029275224
vital48h_spo2_value_mean,0.0029173256
emb_175,0.0029138373
emb_76,0.0029065427
emb_143,0.0029048931
emb_312,0.0028895054
labs7d_albumin_std_missing,0.0028877163
emb_157,0.002866692
