feature,importance
vital48h_mbp_max_missing,0.0011286389
emb_236,0.0011283658
cmb_obesity,0.0011268813
emb_274,0.0011247834
labs7d_wbc_last,0.0011197474
vital48h_temperature_std_missing,0.0011101954
emb_214,0.0011043173
labs7d_lactate_min_missing,0.0011003031
emb_38,0.0010960995
vital48h_pap_dbp_count_missing,0.0010932853
emb_26,0.0010927753
emb_276,0.001090454
vital48h_cvp_mean_missing,0.0010860205
emb_367,0.0010850548
emb_129,0.0010810429
labs7d_bicarbonate_std_missing,0.0010801516
emb_61,0.0010795741
vital48h_dbp_max_missing,0.0010746192
emb_382,0.0010731003
emb_334,0.0010685343
emb_317,0.0010637983
emb_368,0.0010592457
labs7d_hgb_count_missing,0.0010522965
emb_25,0.0010508818
fluid6h_net_rate_ml_per_hr_missing,0.0010489761
emb_98,0.0010363847
emb_301,0.0010294026
fluid48h_net_rate_ml_per_hr,0.0010292851
hx30d_mech_vent_any,0.0010270588
emb_261,0.0010264722
emb_34,0.0010259587
emb_87,0.0010103253
fluid6h_output_urine_total_ml,0.0010009567
fluid6h_input_rate_ml_per_hr_missing,0.0009995307
vital48h_pap_sbp_last_missing,0.0009965022
emb_326,0.0009962721
vital48h_mbp_value_mean_missing,0.0009943091
emb_348,0.0009872582
labs7d_creatinine_last_missing,0.0009837851
emb_249,0.0009830806
vital48h_pap_mbp_std_missing,0.0009762217
emb_84,0.00097458455
labs7d_lactate_last,0.0009742978
emb_222,0.00097296806
vital48h_cardiac_output_max_missing,0.0009729043
emb_309,0.00097266614
labs7d_plt_std_missing,0.00097023137
emb_184,0.00096394564
vital48h_resp_rate_std_missing,0.0009599993
emb_93,0.0009599453
vital48h_dbp_min_missing,0.00095944933
vital48h_heart_rate_last_missing,0.0009592295
labs7d_wbc_max_missing,0.00095531245
emb_304,0.00095474126
dem_mar_MARRIED,0.0009531991
emb_239,0.0009524253
vital48h_tidal_volume_mean,0.0009482974
emb_196,0.0009467043
vital48h_spo2_value_mean,0.00094601035
emb_102,0.000944767
emb_210,0.00093956426
emb_273,0.0009385829
vital48h_cvp_max_missing,0.00093806145
fluid48h_output_urine_count_missing,0.00093671074
labs7d_potassium_min_missing,0.000934988
emb_206,0.0009343496
emb_150,0.00093378144
emb_15,0.0009303335
emb_109,0.0009300017
emb_267,0.0009298232
emb_199,0.0009295861
vital48h_gcs_max_missing,0.0009283628
emb_74,0.0009245215
vital48h_shock_index_mean,0.0009226836
labs7d_ph_last_missing,0.0009223418
emb_90,0.00091795705
emb_360,0.0009136929
vital48h_resp_rate_last_missing,0.0009089391
labs7d_bicarbonate_min_missing,0.00090597005
emb_79,0.0009059127
emb_158,0.0009056175
fluid6h_net_rate_ml_per_hr,0.00090447173
fluid48h_output_urine_total_ml_missing,0.00090326654
emb_378,0.00090199435
emb_133,0.00090165203
emb_325,0.0008984961
ins_UNKNOWN,0.00089554826
emb_53,0.000888809
emb_379,0.0008886875
vital48h_cardiac_output_min_missing,0.0008883952
emb_50,0.00087956386
emb_364,0.00087639684
emb_225,0.000873678
hx31to180d_vasopressors_any,0.00087256083
labs7d_bicarbonate_count_missing,0.0008711329
vital48h_mbp_last_missing,0.0008710587
vital48h_gcs_std,0.00087067066
emb_370,0.0008678885
emb_243,0.0008637823
emb_154,0.00085658685
vital48h_dbp_value_mean,0.00085643964
emb_31,0.00085313857
emb_341,0.00085280964
emb_313,0.0008509668
vital48h_pap_mbp_last_missing,0.00084608165
